nro;cod_ied_N;nomb_ied;d_dreugel;cod_mod;nivel;;;;
1;04949978;EL NIÑO DIVINO;UGEL CUSCO;1644079;EBR INICIAL;;;;
;;;;0205054;EBR PRIMARIA;;;;
2;05447429;JUVENIL MARCAVALLE;UGEL CUSCO;1061134;CETPRO;;;;
3;06271251;SAN ISIDRO;UGEL CUSCO;1347335;EBR INICIAL;;;;
;;;;1347343;EBR PRIMARIA;;;;
;;;;1347350;EBR SECUNDARIA;;;;
4;05509701;LA SEMILLA;UGEL CUSCO;0772798;EBR INICIAL;;;;
5;02634007;460;UGEL CUSCO;0472670;EBR INICIAL;;;;
6;02818991;51022 DIEGO QUISPE TITO;UGEL CUSCO;1681840;EBR INICIAL;;;;
;;;;0206219;EBR PRIMARIA;;;;
;;;;0236414;EBR SECUNDARIA;;;;
;;;;0235515;EBA INICIAL-INTERMEDIO;;;;
;;;;0671867;EBA AVANZADO;;;;
7;05556724;LICEO ITALIANO;UGEL CUSCO;1201441;EBR INICIAL;;;;
;;;;1201482;EBR PRIMARIA;;;;
;;;;1201524;EBR SECUNDARIA;;;;
;;;;1386010;EBA AVANZADO;;;;
8;04868528;DISNEY HOME;UGEL CUSCO;1668128;EBR INICIAL;;;;
9;04629299;VIRGEN DEL CARMEN;UGEL CUSCO;1386648;EBA AVANZADO;;;;
10;80000248;VIRGEN DEL CARMEN;UGEL CUSCO;1061738;EBA INICIAL-INTERMEDIO;;;;
;;;;1061779;EBA AVANZADO;;;;
11;01289268;208;UGEL CUSCO;0731158;EBR INICIAL;;;;
12;05418399;JUAN LANDAZURI RICKETTS;UGEL CUSCO;0818062;EBR PRIMARIA;;;;
;;;;0928119;EBR SECUNDARIA;;;;
13;02497484;51001 HUMBERTO LUNA;UGEL CUSCO;0927327;EBR INICIAL;;;;
;;;;0205880;EBR PRIMARIA;;;;
;;;;0236349;EBR SECUNDARIA;;;;
;;;;0235358;EBA INICIAL-INTERMEDIO;;;;
;;;;0497628;EBA AVANZADO;;;;
14;06613306;THE KIDS HOUSE;UGEL CUSCO;1465939;EBR INICIAL;;;;
15;02790009;50729;UGEL CUSCO;0205047;EBR PRIMARIA;;;;
16;02689871;50037;UGEL CUSCO;0405217;EBR PRIMARIA;;;;
;;;;1718626;EBR SECUNDARIA;;;;
17;05191572;IMPERIO JOHN LOCKE;UGEL CUSCO;0818039;EBR PRIMARIA;;;;
;;;;0928234;EBR SECUNDARIA;;;;
18;04816307;CRISTO SALVADOR;UGEL CUSCO;1062033;EBR INICIAL;;;;
19;05615895;LUCES DEL SABER;UGEL CUSCO;1396522;EBR INICIAL;;;;
20;05185718;IGATUR;UGEL CUSCO;1062496;IST;;;;
21;06972357;LA CASITA DEL APRENDIZAJE;UGEL CUSCO;1751486;EBR INICIAL;;;;
22;06144462;RICARDO PALMA SORIANO;UGEL CUSCO;0927962;EBR PRIMARIA;;;;
23;04376080;ALEGRIA DE JESUS;UGEL CUSCO;1386622;EBR INICIAL;;;;
24;04932961;EL CASTILLO ENCANTADO;UGEL CUSCO;1396670;EBR INICIAL;;;;
25;00588342;1276;UGEL CUSCO;1681832;EBR INICIAL;;;;
26;06923275;1357;UGEL CUSCO;1744341;EBR INICIAL;;;;
27;05897130;NIÑOS DE NUESTRA SEÑORA DE LAS MERCEDES;UGEL CUSCO;1347376;EBR INICIAL;;;;
28;04973216;EMANUEL;UGEL CUSCO;1061365;EBR INICIAL;;;;
29;06160115;ROSA DE AMERICA;UGEL CUSCO;1522747;EBR INICIAL;;;;
30;05462266;KINDERGARTEN CRECIENDO JUNTOS;UGEL CUSCO;1465913;EBR INICIAL;;;;
31;06923682;1361 - TIWINZA;UGEL CUSCO;1744382;EBR INICIAL;;;;
32;05614155;LUCERITO;UGEL CUSCO;1386762;EBR INICIAL;;;;
33;06638724;TUINEN STAR;UGEL CUSCO;1355668;IST;;;;
34;06638724;TUINEN STAR;UGEL CUSCO;1355668;IST;;;;
35;06638724;TUINEN STAR;UGEL CUSCO;1355668;IST;;;;
36;07006179;KINDER PLAY HOUSE;UGEL CUSCO;1756238;EBR INICIAL;;;;
37;04939328;PROYECTO INGENIERIA;UGEL CUSCO;1200435;EBR PRIMARIA;;;;
;;;;1200443;EBR SECUNDARIA;;;;
38;05162521;HUELLITAS;UGEL CUSCO;1349794;EBR INICIAL;;;;
39;04682238;EL PACIFICO;UGEL CUSCO;0933135;CETPRO;;;;
40;05496756;LA MEDALLITA;UGEL CUSCO;1700137;EBR INICIAL;;;;
41;06752314;YACHAYWASI;UGEL CUSCO;1061977;EBA INICIAL-INTERMEDIO;;;;
;;;;1061969;EBA AVANZADO;;;;
42;04488946;ARTURO PALOMINO RODRIGUEZ;UGEL CUSCO;0489104;EBR PRIMARIA;;;;
;;;;0591198;EBR SECUNDARIA;;;;
43;04778448;CORONEL FRANCISCO BOLOGNESI;UGEL CUSCO;0510040;EBR INICIAL;;;;
;;;;0517797;EBR PRIMARIA;;;;
;;;;0517698;EBR SECUNDARIA;;;;
;;;;0644930;EBA AVANZADO;;;;
44;06632947;TRILCE CUSCO;UGEL CUSCO;1304302;EBR PRIMARIA;;;;
;;;;1304310;EBR SECUNDARIA;;;;
45;04594878;CASA MONTESSORI CRECER JUGANDO;UGEL CUSCO;1702232;EBR INICIAL;;;;
46;04378067;ALEJANDRO VON HUMBOLDT;UGEL CUSCO;0732800;EBR PRIMARIA;;;;
;;;;0785089;EBR SECUNDARIA;;;;
47;02767252;50514;UGEL CUSCO;0409896;EBR PRIMARIA;;;;
48;06099416;PURIRISUN;UGEL CUSCO;1649698;EBR INICIAL;;;;
49;05238943;INTI HUAHUACUNA;UGEL CUSCO;1642214;EBR INICIAL;;;;
50;00587508;1273;UGEL CUSCO;1681733;EBR INICIAL;;;;
51;04803272;CRISTO BLANCO;UGEL CUSCO;1649706;EBR INICIAL;;;;
52;04540662;BLUE RIBBON INTERNATIONAL;UGEL CUSCO;1387406;CETPRO;;;;
53;04540662;BLUE RIBBON INTERNATIONAL;UGEL CUSCO;1528587;IST;;;;
54;06612490;THANIWAWA;UGEL CUSCO;1572387;EBR INICIAL;;;;
55;02617013;446;UGEL CUSCO;0671768;EBR INICIAL;;;;
56;06201202;SAMUELITOS KINDER;UGEL CUSCO;0929570;EBR INICIAL;;;;
57;05112206;HAPPY DAYS;UGEL CUSCO;1643295;EBR INICIAL;;;;
58;02277281;381;UGEL CUSCO;0927475;EBR INICIAL;;;;
59;06205267;SAN AGUSTIN;UGEL CUSCO;1634641;EBR INICIAL;;;;
60;06257720;SAN GABRIEL;UGEL CUSCO;1387091;EBR INICIAL;;;;
61;04867610;DISCOVERY KINDER;UGEL CUSCO;1352236;EBR INICIAL;;;;
;;;;1535681;EBR PRIMARIA;;;;
62;06088694;PROMESA;UGEL CUSCO;1304377;EBR INICIAL;;;;
;;;;1304385;EBR PRIMARIA;;;;
;;;;1531979;EBR SECUNDARIA;;;;
63;06100971;Q'ORI CHASKA;UGEL CUSCO;1405216;EBR INICIAL;;;;
64;05266572;TEPSUR SRL;UGEL CUSCO;1653542;CETPRO;;;;
65;05238609;INTEROCEANICA;UGEL CUSCO;1320191;EBR INICIAL;;;;
66;04480767;ARCO IRIS;UGEL CUSCO;1061241;EBR INICIAL;;;;
;;;;1061217;EBR PRIMARIA;;;;
;;;;1395862;EBR SECUNDARIA;;;;
67;06662145;URPITUCHA;UGEL CUSCO;1698877;EBR INICIAL;;;;
68;04952596;EL PARAISO DE LISSY;UGEL CUSCO;1700111;EBR INICIAL;;;;
69;04990048;ESCUELA DE LOCUTORES DEL PERU;UGEL CUSCO;1201383;CETPRO;;;;
70;04667069;CESAR VALLEJO;UGEL CUSCO;1269505;EBR INICIAL;;;;
;;;;1269661;EBR PRIMARIA;;;;
;;;;1642057;EBR SECUNDARIA;;;;
71;04667069;CESAR VALLEJO;UGEL CUSCO;1725985;EBA INICIAL-INTERMEDIO;;;;
;;;;1578947;EBA AVANZADO;;;;
72;04439945;ANDRES RAZURI;UGEL CUSCO;1313501;EBR PRIMARIA;;;;
;;;;1313519;EBR SECUNDARIA;;;;
73;06039448;PEQUES Y PEQUITAS;UGEL CUSCO;1636877;EBR INICIAL;;;;
74;06097431;PULGARCITO;UGEL CUSCO;1405208;EBR INICIAL;;;;
75;06590454;GAL SCHOOL;UGEL CUSCO;1061514;EBR INICIAL;;;;
76;06590454;GAL SCHOOL;UGEL CUSCO;1529627;EBR PRIMARIA;;;;
77;06253504;SAN FRANCISCO;UGEL CUSCO;1351451;IST;;;;
78;05315581;JESUS MIO;UGEL CUSCO;1361732;EBR INICIAL;;;;
79;05529921;LAS HORMIGUITAS;UGEL CUSCO;1420785;EBR INICIAL;;;;
80;06215998;SAN ANTONIO DE PADUA;UGEL CUSCO;0626788;EBR INICIAL;;;;
81;06379346;SAN SILVESTRE;UGEL CUSCO;1268101;EBR INICIAL;;;;
82;05850002;MUNDO ANDINO;UGEL CUSCO;0928978;EBR PRIMARIA;;;;
83;06628907;TRAVESURAS;UGEL CUSCO;1330356;EBR INICIAL;;;;
84;06923356;1358 - SAN HILARION;UGEL CUSCO;1744358;EBR INICIAL;;;;
85;04951271;EL PACIFICO;UGEL CUSCO;0933507;EBR PRIMARIA;;;;
;;;;0933333;EBR SECUNDARIA;;;;
86;06823696;HAPPY TIME;UGEL CUSCO;1727767;EBR INICIAL;;;;
87;06430074;SANTA MARIA REYNA DE LA PAZ;UGEL CUSCO;1664119;EBR INICIAL;;;;
;;;;1664101;EBR PRIMARIA;;;;
;;;;1664127;EBR SECUNDARIA;;;;
88;06033571;PEQUEÑAS SEMILLAS;UGEL CUSCO;1668136;EBR INICIAL;;;;
89;05161533;HUELLITAS DEL SABER;UGEL CUSCO;1525393;EBR INICIAL;;;;
90;04908546;I.E.I.P. DULCES AVENTURAS;UGEL CUSCO;1434893;EBR INICIAL;;;;
91;05855705;MUNDO MAGICO;UGEL CUSCO;1692219;EBR INICIAL;;;;
92;05465729;KONRAD ADENAHUER;UGEL CUSCO;1200526;EBR INICIAL;;;;
;;;;1200534;EBR PRIMARIA;;;;
;;;;1200542;EBR SECUNDARIA;;;;
93;05465729;KONRAD ADENAHUER;UGEL CUSCO;1386267;EBA AVANZADO;;;;
94;04413784;AMBROSSIA - CUSCO;UGEL CUSCO;1313485;IST;;;;
95;02803471;50864;UGEL CUSCO;0520387;EBR PRIMARIA;;;;
96;04800461;CRFA WAYNAKUNAQ YACHAYWASIN;UGEL CUSCO;1336072;EBR SECUNDARIA;;;;
97;02737061;50220;UGEL CUSCO;0407072;EBR PRIMARIA;;;;
98;02791099;50742;UGEL CUSCO;0205161;EBR PRIMARIA;;;;
99;05651689;MAMA ROSITA;UGEL CUSCO;1386770;EBR INICIAL;;;;
100;05037891;FIGURITAS;UGEL CUSCO;1525377;EBR INICIAL;;;;
101;02813602;50968;UGEL CUSCO;0591933;EBR PRIMARIA;;;;
102;02719169;501342;UGEL CUSCO;1060722;EBR PRIMARIA;;;;
103;04606833;CCORCA;UGEL CUSCO;1379544;EBR SECUNDARIA;;;;
104;02717591;501318;UGEL CUSCO;0933978;EBR PRIMARIA;;;;
105;04650964;CENTRO CULTURALE ITALIANO;UGEL CUSCO;1649714;CETPRO;;;;
106;02812126;50951;UGEL CUSCO;0591966;EBR PRIMARIA;;;;
107;02608367;438 CRUZ VERDE;UGEL CUSCO;1061761;EBR INICIAL;;;;
108;02787059;50707 SIMON BOLIVAR;UGEL CUSCO;0204859;EBR PRIMARIA;;;;
;;;;0489096;EBR SECUNDARIA;;;;
109;02737485;50224;UGEL CUSCO;0929604;EBR PRIMARIA;;;;
110;04319249;985;UGEL CUSCO;1615376;EBR INICIAL;;;;
111;02687712;50008;UGEL CUSCO;0404947;EBR PRIMARIA;;;;
112;04916476;EDUCANDAS;UGEL CUSCO;0489070;EBR PRIMARIA;;;;
;;;;0236224;EBR SECUNDARIA;;;;
113;02733595;50190;UGEL CUSCO;0406702;EBR PRIMARIA;;;;
;;;;1370386;EBR SECUNDARIA;;;;
114;05020964;FE Y ALEGRIA 20;UGEL CUSCO;0235333;EBR PRIMARIA;;;;
;;;;0236778;EBR SECUNDARIA;;;;
115;05841445;MONTE HOREB;UGEL CUSCO;1200336;EBR INICIAL;;;;
116;04462378;IESTP  ANTONIO LORENA;UGEL CUSCO;0815142;IST;;;;
117;02703483;501154;UGEL CUSCO;0731026;EBR PRIMARIA;;;;
118;04261224;90;UGEL CUSCO;0403642;EBR INICIAL;;;;
119;06205186;SAN AGUSTIN;UGEL CUSCO;1060771;EBR INICIAL;;;;
;;;;0818187;EBR PRIMARIA;;;;
;;;;0928028;EBR SECUNDARIA;;;;
;;;;1062488;EBA AVANZADO;;;;
120;04466748;ANTONIO RAYMONDI;UGEL CUSCO;0621300;EBR SECUNDARIA;;;;
121;05497663;LA MERCED;UGEL CUSCO;0772749;EBR INICIAL;;;;
;;;;0234997;EBR PRIMARIA;;;;
;;;;0236729;EBR SECUNDARIA;;;;
122;06201792;SAN AGUSTIN DE HIPONA - CUSCO;UGEL CUSCO;1583236;EBR PRIMARIA;;;;
;;;;1583244;EBR SECUNDARIA;;;;
123;07025068;SAN FRANCISCO DE ASIS;UGEL CUSCO;1736214;EBE INICIAL;;;;
;;;;0671503;EBE PRIMARIA;;;;
124;05547415;CRL. LEONCIO PRADO;UGEL CUSCO;1386077;CETPRO;;;;
125;02690276;50042;UGEL CUSCO;0405266;EBR PRIMARIA;;;;
126;02689121;50023 REPUBLICA DE MEXICO;UGEL CUSCO;0405084;EBR PRIMARIA;;;;
127;04873149;DIVINO AMOR-A;UGEL CUSCO;1468719;EBR INICIAL;;;;
;;;;1722248;EBR PRIMARIA;;;;
128;80000208;DIVINO AMOR-A;UGEL CUSCO;0929307;CETPRO;;;;
129;04377982;ALEJANDRO VELASCO ASTETE;UGEL CUSCO;1712678;EBR INICIAL;;;;
;;;;0405225;EBR PRIMARIA;;;;
;;;;0233130;EBR SECUNDARIA;;;;
;;;;0235523;EBA INICIAL-INTERMEDIO;;;;
;;;;0622746;EBA AVANZADO;;;;
130;04901770;DON JOSE DE SAN MARTIN;UGEL CUSCO;1736206;EBE INICIAL;;;;
;;;;0236018;EBE PRIMARIA;;;;
131;02803704;50867;UGEL CUSCO;0551101;EBR PRIMARIA;;;;
132;02765276;50500 SAN MARTIN DE PORRES;UGEL CUSCO;0409755;EBR PRIMARIA;;;;
;;;;1370352;EBR SECUNDARIA;;;;
133;04911830;ECOCAT;UGEL CUSCO;1530476;CETPRO;;;;
134;06497497;SANTO TOMAS DE AQUINO;UGEL CUSCO;0486589;EBR INICIAL;;;;
135;00486371;50040;UGEL CUSCO;0818153;EBR PRIMARIA;;;;
136;00486371;50040;UGEL CUSCO;1615111;EBR INICIAL;;;;
137;06977308;SANTY;UGEL CUSCO;1752336;EBR INICIAL;;;;
138;05143071;HOSPITAL REGIONAL;UGEL CUSCO;0927293;EBR INICIAL;;;;
139;04541650;BOLIVARIANO;UGEL CUSCO;1681857;EBR INICIAL;;;;
;;;;0557090;EBR PRIMARIA;;;;
;;;;1352269;EBR SECUNDARIA;;;;
140;02622531;451 KUKULI;UGEL CUSCO;0671826;EBR INICIAL;;;;
141;02698781;501100;UGEL CUSCO;0699280;EBR PRIMARIA;;;;
142;02786974;50706;UGEL CUSCO;0204842;EBR PRIMARIA;;;;
143;04722663;CIENCIAS;UGEL CUSCO;0206011;EBR PRIMARIA;;;;
;;;;0236117;EBR SECUNDARIA;;;;
;;;;0235416;EBA INICIAL-INTERMEDIO;;;;
;;;;0236828;EBA AVANZADO;;;;
144;06062512;PITAGORAS;UGEL CUSCO;1315795;EBR INICIAL;;;;
;;;;1315803;EBR PRIMARIA;;;;
;;;;1386614;EBR SECUNDARIA;;;;
145;05219558;INMACULADA VIRGEN ESTRELLA;UGEL CUSCO;1420777;EBR PRIMARIA;;;;
146;05219558;INMACULADA VIRGEN ESTRELLA;UGEL CUSCO;1529585;EBR INICIAL;;;;
147;02255571;374 ACCOMOCO;UGEL CUSCO;0785014;EBR INICIAL;;;;
148;06670482;CETPRO VIAMONTE;UGEL CUSCO;1061373;CETPRO;;;;
149;02720620;501358 SALKANTAY;UGEL CUSCO;1201607;EBR PRIMARIA;;;;
150;02789450;50723 CECILIA TUPAC AMARU;UGEL CUSCO;1201680;EBR INICIAL;;;;
;;;;0205013;EBR PRIMARIA;;;;
;;;;1386226;EBR SECUNDARIA;;;;
151;02642263;466;UGEL CUSCO;0404111;EBR INICIAL;;;;
152;05503681;LA PUERTA MAGICA;UGEL CUSCO;1370493;EBR INICIAL;;;;
153;02619415;448;UGEL CUSCO;0403907;EBR INICIAL;;;;
154;06028055;PEDRO PAULET;UGEL CUSCO;1387190;EBR INICIAL;;;;
;;;;1755032;EBR PRIMARIA;;;;
155;05348676;CAP. FAP JOSE ABELARDO QUIÑONES;UGEL CUSCO;0933473;EBR PRIMARIA;;;;
;;;;1386127;EBR SECUNDARIA;;;;
156;04418085;AMERICANA DEL CUSCO;UGEL CUSCO;0934182;IST;;;;
157;04847822;DE COLORES KIDS;UGEL CUSCO;1432129;EBR INICIAL;;;;
158;02618346;447;UGEL CUSCO;0403899;EBR INICIAL;;;;
159;02803399;50863 HUAYLLAY;UGEL CUSCO;0517599;EBR PRIMARIA;;;;
160;05566398;LITTLE HANDS;UGEL CUSCO;1627777;EBR INICIAL;;;;
161;05788072;MI PEQUEÑO TESORO;UGEL CUSCO;1372275;EBR INICIAL;;;;
162;06256813;SAN GABRIEL DE LOS CIELOS;UGEL CUSCO;1387158;EBR INICIAL;;;;
163;06256813;SAN GABRIEL DE LOS CIELOS;UGEL CUSCO;1529619;EBR PRIMARIA;;;;
164;06236111;SAN DIEGO;UGEL CUSCO;1387083;CETPRO;;;;
165;05310466;JESUS ES MI MAESTRO;UGEL CUSCO;1665991;EBR INICIAL;;;;
;;;;1666007;EBR PRIMARIA;;;;
166;02247259;370 SAN MIGUEL;UGEL CUSCO;0735001;EBR INICIAL;;;;
167;02690195;50041;UGEL CUSCO;0405258;EBR PRIMARIA;;;;
168;06313906;SAN JUAN;UGEL CUSCO;1370444;EBR INICIAL;;;;
;;;;1370451;EBR PRIMARIA;;;;
;;;;1396654;EBR SECUNDARIA;;;;
169;01153293;197;UGEL CUSCO;0731000;EBR INICIAL;;;;
170;02687143;50005;UGEL CUSCO;1681873;EBR INICIAL;;;;
;;;;0406819;EBR PRIMARIA;;;;
171;02803135;50860;UGEL CUSCO;0551804;EBR PRIMARIA;;;;
172;02787393;50709;UGEL CUSCO;1468727;EBR INICIAL;;;;
;;;;0204875;EBR PRIMARIA;;;;
173;00489344;1126;UGEL CUSCO;1615137;EBR INICIAL;;;;
174;02789949;50728;UGEL CUSCO;0205039;EBR PRIMARIA;;;;
175;02688212;50012;UGEL CUSCO;0404988;EBR PRIMARIA;;;;
176;00606650;1312;UGEL CUSCO;1712710;EBR INICIAL;;;;
177;04316193;981;UGEL CUSCO;1615335;EBR INICIAL;;;;
178;02799014;50815;UGEL CUSCO;0472829;EBR PRIMARIA;;;;
179;01656139;301;UGEL CUSCO;0732826;EBR INICIAL;;;;
180;02787210;50708;UGEL CUSCO;0204867;EBR PRIMARIA;;;;
181;01306251;209;UGEL CUSCO;0731166;EBR INICIAL;;;;
182;02818817;51021;UGEL CUSCO;0206201;EBR PRIMARIA;;;;
183;02690500;50046;UGEL CUSCO;1644095;EBR INICIAL;;;;
184;02690500;50046;UGEL CUSCO;0405308;EBR PRIMARIA;;;;
185;02733676;50192;UGEL CUSCO;0406728;EBR PRIMARIA;;;;
186;02817586;51009 FRANCISCO SIVIRICHI;UGEL CUSCO;0206037;EBR PRIMARIA;;;;
;;;;0235424;EBA INICIAL-INTERMEDIO;;;;
187;06250955;SAN FRANCISCO JAVIER;UGEL CUSCO;1268820;EBR SECUNDARIA;;;;
188;06702244;VIRGEN DE FATIMA;UGEL CUSCO;0405175;EBR PRIMARIA;;;;
;;;;0927848;EBR SECUNDARIA;;;;
189;02688883;50017;UGEL CUSCO;0405027;EBR PRIMARIA;;;;
190;02818248;51015 SAN FRANCISCO DE BORJA;UGEL CUSCO;0206136;EBR PRIMARIA;;;;
;;;;0579151;EBR SECUNDARIA;;;;
;;;;0235473;EBA INICIAL-INTERMEDIO;;;;
;;;;0782649;EBA AVANZADO;;;;
191;05208580;INGENIERIA;UGEL CUSCO;1420827;EBR SECUNDARIA;;;;
192;05701929;CARRION - SAN JERONIMO;UGEL CUSCO;1386051;EBR PRIMARIA;;;;
;;;;1386069;EBR SECUNDARIA;;;;
193;02638223;463;UGEL CUSCO;0565382;EBR INICIAL;;;;
;;;;0472654;EBR PRIMARIA;;;;
194;05162114;HUELLITAS-B;UGEL CUSCO;1405174;EBR INICIAL;;;;
195;02689049;50022 JORGE CHAVEZ CHAPARRO;UGEL CUSCO;0405076;EBR PRIMARIA;;;;
;;;;1061449;EBR SECUNDARIA;;;;
196;02817098;51003;UGEL CUSCO;1386200;EBR INICIAL;;;;
;;;;0205922;EBR PRIMARIA;;;;
;;;;1370345;EBR SECUNDARIA;;;;
;;;;0235432;EBA INICIAL-INTERMEDIO;;;;
197;02710498;501222;UGEL CUSCO;0732834;EBR PRIMARIA;;;;
;;;;1718618;EBR SECUNDARIA;;;;
198;02710498;501222;UGEL CUSCO;1615368;EBR INICIAL;;;;
199;02607451;437;UGEL CUSCO;1061555;EBR INICIAL;;;;
200;02629801;457 VIVA EL PERU;UGEL CUSCO;0403972;EBR INICIAL;;;;
;;;;0405316;EBR PRIMARIA;;;;
;;;;0591164;EBR SECUNDARIA;;;;
201;02807191;50905;UGEL CUSCO;1644046;EBR INICIAL;;;;
;;;;0489245;EBR PRIMARIA;;;;
202;04578120;CARITAS;UGEL CUSCO;0671792;CETPRO;;;;
203;05043409;FORTUNATO L HERRERA;UGEL CUSCO;1386218;EBR PRIMARIA;;;;
;;;;0236364;EBR SECUNDARIA;;;;
